emoji,unicode,name_en,name_id,alias,emoji_clean,has_skin_tone,category,aliases
⛹🏼‍♀️,⛹🏼‍♀️,woman_bouncing_ball_medium-light_skin_tone,wanita_memantulkan_bola_warna_kulit_cerah-sedang,wanita_memantulkan_bola_warna_kulit_cerah-sedang_membawa_perempuan,\u26f9\U0001f3fc\u200d\u2640\ufe0f,True,woman_bouncing_ball,"['wanita', 'memantulkan', 'bola', 'warna', 'kulit', 'cerah-sedang', 'membawa', 'perempuan']"
⛹🏽‍♀️,⛹🏽‍♀️,woman_bouncing_ball_medium_skin_tone,wanita_memantulkan_bola_warna_kulit_sedang,wanita_memantulkan_bola_warna_kulit_sedang_membawa_perempuan,\u26f9\U0001f3fd\u200d\u2640\ufe0f,True,woman_bouncing_ball_medium_skin,"['wanita', 'memantulkan', 'bola', 'warna', 'kulit', 'sedang', 'membawa', 'perempuan']"
⛹🏾‍♀️,⛹🏾‍♀️,woman_bouncing_ball_medium-dark_skin_tone,wanita_memantulkan_bola_warna_kulit_gelap-sedang,wanita_memantulkan_bola_warna_kulit_gelap-sedang_membawa_perempuan,\u26f9\U0001f3fe\u200d\u2640\ufe0f,True,woman_bouncing_ball,"['wanita', 'memantulkan', 'bola', 'warna', 'kulit', 'gelap-sedang', 'membawa', 'perempuan']"
⛹🏿‍♀️,⛹🏿‍♀️,woman_bouncing_ball_dark_skin_tone,wanita_memantulkan_bola_warna_kulit_gelap,wanita_memantulkan_bola_warna_kulit_gelap_membawa_perempuan,\u26f9\U0001f3ff\u200d\u2640\ufe0f,True,woman_bouncing_ball_dark_skin,"['wanita', 'memantulkan', 'bola', 'warna', 'kulit', 'gelap', 'membawa', 'perempuan']"
🏋🏻,🏋🏻,person_lifting_weights_light_skin_tone,orang_mengangkat_beban_warna_kulit_cerah,orang_mengangkat_beban_warna_kulit_cerah_angkat,\U0001f3cb\U0001f3fb,True,person_lifting_weights_light_skin,"['orang', 'mengangkat', 'beban', 'warna', 'kulit', 'cerah', 'angkat']"
🏋🏼,🏋🏼,person_lifting_weights_medium-light_skin_tone,orang_mengangkat_beban_warna_kulit_cerah-sedang,orang_mengangkat_beban_warna_kulit_cerah-sedang_angkat,\U0001f3cb\U0001f3fc,True,person_lifting_weights,"['orang', 'mengangkat', 'beban', 'warna', 'kulit', 'cerah-sedang', 'angkat']"
🏋🏽,🏋🏽,person_lifting_weights_medium_skin_tone,orang_mengangkat_beban_warna_kulit_sedang,orang_mengangkat_beban_warna_kulit_sedang_angkat,\U0001f3cb\U0001f3fd,True,person_lifting_weights_medium_skin,"['orang', 'mengangkat', 'beban', 'warna', 'kulit', 'sedang', 'angkat']"
🏋🏾,🏋🏾,person_lifting_weights_medium-dark_skin_tone,orang_mengangkat_beban_warna_kulit_gelap-sedang,orang_mengangkat_beban_warna_kulit_gelap-sedang_angkat,\U0001f3cb\U0001f3fe,True,person_lifting_weights,"['orang', 'mengangkat', 'beban', 'warna', 'kulit', 'gelap-sedang', 'angkat']"
🏋🏿,🏋🏿,person_lifting_weights_dark_skin_tone,orang_mengangkat_beban_warna_kulit_gelap,orang_mengangkat_beban_warna_kulit_gelap_angkat,\U0001f3cb\U0001f3ff,True,person_lifting_weights_dark_skin,"['orang', 'mengangkat', 'beban', 'warna', 'kulit', 'gelap', 'angkat']"
🏋🏻‍♂️,🏋🏻‍♂️,man_lifting_weights_light_skin_tone,pria_mengangkat_beban_warna_kulit_cerah,pria_mengangkat_beban_warna_kulit_cerah_angkat_laki-laki,\U0001f3cb\U0001f3fb\u200d\u2642\ufe0f,True,man_lifting_weights_light_skin,"['pria', 'mengangkat', 'beban', 'warna', 'kulit', 'cerah', 'angkat', 'laki-laki']"
🏋🏼‍♂️,🏋🏼‍♂️,man_lifting_weights_medium-light_skin_tone,pria_mengangkat_beban_warna_kulit_cerah-sedang,pria_mengangkat_beban_warna_kulit_cerah-sedang_angkat_laki-laki,\U0001f3cb\U0001f3fc\u200d\u2642\ufe0f,True,man_lifting_weights,"['pria', 'mengangkat', 'beban', 'warna', 'kulit', 'cerah-sedang', 'angkat', 'laki-laki']"
🏋🏽‍♂️,🏋🏽‍♂️,man_lifting_weights_medium_skin_tone,pria_mengangkat_beban_warna_kulit_sedang,pria_mengangkat_beban_warna_kulit_sedang_angkat_laki-laki,\U0001f3cb\U0001f3fd\u200d\u2642\ufe0f,True,man_lifting_weights_medium_skin,"['pria', 'mengangkat', 'beban', 'warna', 'kulit', 'sedang', 'angkat', 'laki-laki']"
🏋🏾‍♂️,🏋🏾‍♂️,man_lifting_weights_medium-dark_skin_tone,pria_mengangkat_beban_warna_kulit_gelap-sedang,pria_mengangkat_beban_warna_kulit_gelap-sedang_angkat_laki-laki,\U0001f3cb\U0001f3fe\u200d\u2642\ufe0f,True,man_lifting_weights,"['pria', 'mengangkat', 'beban', 'warna', 'kulit', 'gelap-sedang', 'angkat', 'laki-laki']"
🏋🏿‍♂️,🏋🏿‍♂️,man_lifting_weights_dark_skin_tone,pria_mengangkat_beban_warna_kulit_gelap,pria_mengangkat_beban_warna_kulit_gelap_angkat_laki-laki,\U0001f3cb\U0001f3ff\u200d\u2642\ufe0f,True,man_lifting_weights_dark_skin,"['pria', 'mengangkat', 'beban', 'warna', 'kulit', 'gelap', 'angkat', 'laki-laki']"
🏋🏻‍♀️,🏋🏻‍♀️,woman_lifting_weights_light_skin_tone,wanita_mengangkat_beban_warna_kulit_cerah,wanita_mengangkat_beban_warna_kulit_cerah_angkat_perempuan,\U0001f3cb\U0001f3fb\u200d\u2640\ufe0f,True,woman_lifting_weights_light_skin,"['wanita', 'mengangkat', 'beban', 'warna', 'kulit', 'cerah', 'angkat', 'perempuan']"
🏋🏼‍♀️,🏋🏼‍♀️,woman_lifting_weights_medium-light_skin_tone,wanita_mengangkat_beban_warna_kulit_cerah-sedang,wanita_mengangkat_beban_warna_kulit_cerah-sedang_angkat_perempuan,\U0001f3cb\U0001f3fc\u200d\u2640\ufe0f,True,woman_lifting_weights,"['wanita', 'mengangkat', 'beban', 'warna', 'kulit', 'cerah-sedang', 'angkat', 'perempuan']"
🏋🏽‍♀️,🏋🏽‍♀️,woman_lifting_weights_medium_skin_tone,wanita_mengangkat_beban_warna_kulit_sedang,wanita_mengangkat_beban_warna_kulit_sedang_angkat_perempuan,\U0001f3cb\U0001f3fd\u200d\u2640\ufe0f,True,woman_lifting_weights_medium_skin,"['wanita', 'mengangkat', 'beban', 'warna', 'kulit', 'sedang', 'angkat', 'perempuan']"
🏋🏾‍♀️,🏋🏾‍♀️,woman_lifting_weights_medium-dark_skin_tone,wanita_mengangkat_beban_warna_kulit_gelap-sedang,wanita_mengangkat_beban_warna_kulit_gelap-sedang_angkat_perempuan,\U0001f3cb\U0001f3fe\u200d\u2640\ufe0f,True,woman_lifting_weights,"['wanita', 'mengangkat', 'beban', 'warna', 'kulit', 'gelap-sedang', 'angkat', 'perempuan']"
🏋🏿‍♀️,🏋🏿‍♀️,woman_lifting_weights_dark_skin_tone,wanita_mengangkat_beban_warna_kulit_gelap,wanita_mengangkat_beban_warna_kulit_gelap_angkat_perempuan,\U0001f3cb\U0001f3ff\u200d\u2640\ufe0f,True,woman_lifting_weights_dark_skin,"['wanita', 'mengangkat', 'beban', 'warna', 'kulit', 'gelap', 'angkat', 'perempuan']"
🚴🏻,🚴🏻,person_biking_light_skin_tone,orang_bersepeda_warna_kulit_cerah,orang_bersepeda_warna_kulit_cerah_sepeda,\U0001f6b4\U0001f3fb,True,person_biking_light_skin,"['orang', 'bersepeda', 'warna', 'kulit', 'cerah', 'sepeda']"
🚴🏼,🚴🏼,person_biking_medium-light_skin_tone,orang_bersepeda_warna_kulit_cerah-sedang,orang_bersepeda_warna_kulit_cerah-sedang_sepeda,\U0001f6b4\U0001f3fc,True,person_biking,"['orang', 'bersepeda', 'warna', 'kulit', 'cerah-sedang', 'sepeda']"
🚴🏽,🚴🏽,person_biking_medium_skin_tone,orang_bersepeda_warna_kulit_sedang,orang_bersepeda_warna_kulit_sedang_sepeda,\U0001f6b4\U0001f3fd,True,person_biking_medium_skin,"['orang', 'bersepeda', 'warna', 'kulit', 'sedang', 'sepeda']"
🚴🏾,🚴🏾,person_biking_medium-dark_skin_tone,orang_bersepeda_warna_kulit_gelap-sedang,orang_bersepeda_warna_kulit_gelap-sedang_sepeda,\U0001f6b4\U0001f3fe,True,person_biking,"['orang', 'bersepeda', 'warna', 'kulit', 'gelap-sedang', 'sepeda']"
🚴🏿,🚴🏿,person_biking_dark_skin_tone,orang_bersepeda_warna_kulit_gelap,orang_bersepeda_warna_kulit_gelap_sepeda,\U0001f6b4\U0001f3ff,True,person_biking_dark_skin,"['orang', 'bersepeda', 'warna', 'kulit', 'gelap', 'sepeda']"
